left_dataset,right_dataset,confidence_score
15321,41340,0.9239214080657296
15334,30340,0.8707634903669984
15335,41065,0.8821703159059582
15346,76754,0.9444473585516122
15371,23739,0.983971149581719
15479,43523,0.8101867400973457
15491,85047,0.8139960915019953
15501,9148,0.8595627391788698
15514,75723,0.8977514195816941
15514,75722,0.8093374229619997
15523,6011,0.8682847531965999
15550,4124,0.857091580195151
15578,74776,0.8653716682107534
15619,37600,0.8810383459939606
15634,37090,0.8742324324266422
15657,18789,0.8796504604338359
15702,37336,0.8681709831687541
15702,37335,0.81896573752356
15749,79105,0.8022512389686912
15749,79104,0.8022512389686912
15793,54609,0.8162978543467954
15799,75540,0.8536256907095031
15844,4131,0.8154448028714786
15863,18628,0.8827942791397247
15863,5990,0.843602975772909
15867,29571,0.8686740034838517
15880,82272,0.8374967847123224
15893,60861,1.0
15893,60862,0.9183156973193124
15932,14302,0.8592846896658086
15985,28877,0.8800868072288202
15985,30071,0.8277517313971006
16017,15285,0.8253459499903293
16017,7845,0.8253459499903293
16017,21971,0.8204645025748543
16017,7796,0.8204645025748543
16063,12184,0.8276303034103257
16072,74298,0.9131683754316335
16125,62974,0.8069096739174471
16155,54305,0.9404352579408786
16218,81164,0.8232458868254957
16307,50110,0.841370924179516
16330,27711,0.9543598749949463
16337,88218,0.8618676466707239
16374,22454,0.9473894350056152
16464,36933,0.8479205580052251
16481,54842,0.8343581614988832
16495,5234,0.8190001469023798
16531,6089,0.8739188423043555
16535,45832,0.9810601646689635
16535,42760,0.9810601646689635
16535,44125,0.8318892374371263
16535,42512,0.811478845483448
16577,62202,0.957390681243179
16577,63423,0.8943581579582445
16585,26144,0.8097026784241966
16585,13614,0.806429600071168
16594,15285,0.8705967990543526
16594,7845,0.8705967990543526
16594,21971,0.8654477188477867
16594,7796,0.8654477188477867
16594,17178,0.8247210945166029
16598,44424,0.8312025774454649
16604,71068,0.8803468517867382
16639,23113,0.8505464146650116
16643,8499,0.8008755904070238
16662,80632,0.8611210063719962
16708,73039,0.9090943203836246
16716,31874,0.8093882995254869
16771,25366,0.8295964732153761
16776,993,0.9179144423565234
16850,6074,0.9491482611219363
16863,13595,0.8829914433358721
16869,42613,0.9892570331403098
16900,20456,0.9217962755980211
16901,2691,0.9156585961976514
16922,23863,0.8978447548947943
16922,22322,0.8245059943178331
16931,52483,0.8378403271517094
17031,22709,0.9090623178926204
17049,22702,0.8329065243354049
17069,2519,0.9116018546168283
17069,2621,0.9099376929025597
17121,18686,0.9967549088486468
17123,44865,0.9262080643654496
17160,22412,0.8383857100403158
17160,18173,0.8193029307018199
17177,39194,0.8860059471134951
17192,10148,0.9390771138897456
17211,71363,0.890418460329528
17229,55304,0.8173461346406226
17275,52613,0.826919125065371
17297,15285,0.9876030947077952
17297,7845,0.9876030947077952
17297,21971,0.9817619894425026
17297,7796,0.9817619894425026
17297,17178,0.935561796344885
17297,24397,0.8507717586328525
17297,6789,0.8447005880674916
17297,10037,0.8398221371353716
17297,11576,0.8004209612491887
17329,52078,0.8199802454441822
17334,18628,0.8129658507907707
17355,20059,0.8558710977323954
17358,23341,0.8445216775279919
17358,9900,0.8440971570113813
17363,85255,0.9221320467095577
17363,85521,0.8321606164390616
17428,23991,0.8066660850150809
17428,22341,0.8066660850150809
17438,83541,0.9160573170566894
17501,63071,0.8156376744340766
17529,17752,0.8160607117281322
17560,10283,0.9479139356361947
17560,10282,0.8674768462558936
17607,21255,0.8507340657133794
17636,64900,0.8398557189233902
17655,18193,0.8429820486929611
17662,6295,0.9765129863117701
17662,15493,0.9712206273974011
17676,40868,0.8044744455717897
17719,65821,0.911201182140976
17737,70046,0.8188087910827149
17751,3412,0.8824585944335013
17800,52492,0.832620014966406
17805,20755,0.9685658062991345
17815,52349,0.8003178549459314
17863,25079,0.8603166060303069
17870,81121,0.8476634139718904
17891,74905,0.9632308273886567
17919,21183,0.806636986478907
17928,77931,0.92134938014722
17979,51807,0.8323293244988477
17983,9885,0.8758332207667405
17992,34033,0.8155555914333485
17992,34032,0.8155555914333485
18128,34655,0.9131721837529018
18171,57824,0.8551763823958419
18191,61038,0.8477074871115207
18193,18628,0.8062380425346052
18220,32714,0.8372616732790954
18243,82078,0.8135269629566204
18244,19119,0.8070215359032321
18322,83541,0.9160573170566894
18329,20742,0.8373715969435719
18418,26791,0.9155558164049966
18418,34039,0.8791713694991232
18425,8899,0.820304760757043
18438,1326,0.8524651299480597
18450,81655,0.8271668910186426
18453,84602,0.8035089297151502
18464,13461,0.9355611899801639
18464,12171,0.8789713672102074
18464,7227,0.8789713672102074
18541,67657,0.8272793823760888
18541,61455,0.8252485244305471
18544,33603,0.8482500126122765
18588,76500,0.8486095313265779
18603,25543,0.8431580232200084
18612,32473,0.8066661012560764
18623,24100,0.8569967833175509
18655,33435,0.8531939251295673
18684,48292,0.8686239001616173
18713,81726,0.8635876074627944
18737,9674,0.9301015750898393
18869,35989,0.9212969497643931
18870,65965,0.8743017541161243
18870,65964,0.8743017541161243
18927,41488,0.8023597259943723
18958,65966,0.8217711586454698
19058,69537,0.8826265935498798
19067,7263,0.8537868237084772
19067,7514,0.8055470277850603
19164,66611,0.841962959993208
19200,34918,0.891357301953933
19200,34917,0.8893977891490663
19228,69465,0.9465045324290021
19228,69464,0.8861191831049688
19253,12171,0.814991297913423
19253,7227,0.814991297913423
19324,54620,0.8029712013793431
19347,74108,0.881028757374986
19391,26317,0.9900479536493665
19399,79399,0.9244288237785527
19399,79292,0.8538770918407433
19406,1729,0.8358913038888023
19413,54534,0.9515660291105854
19414,15285,0.8780077412141022
19414,7845,0.8780077412141022
19414,21971,0.8728148295397106
19414,7796,0.8728148295397106
19414,17178,0.8317415204313626
19421,77193,0.8953696162054917
19461,48378,0.9233094469620337
19473,27012,0.9473964749982906
19473,27011,0.9473964749982906
19500,53988,0.9029746930061701
19500,55899,0.8141197093056992
19572,34711,0.9008542233675588
19617,50364,1.0
19617,40904,0.9731414334503147
19727,52731,0.8071636274743316
19741,35499,0.8915330698166293
19743,18842,0.8319402467918646
19791,47479,0.8012590390345422
19855,26684,0.8954462392570999
19915,44152,0.8830525430840931
19973,51260,0.8156662934390435
19973,48256,0.8156662934390435
19981,86282,0.8416788883904951
20022,52489,0.8857237681214861
20023,64884,0.8313005288936061
20025,10842,0.8522750483634431
20025,10841,0.8174458975544499
20029,24435,0.8353439915056061
20035,30760,0.8004991072496079
20050,9674,0.805442283737124
20134,15285,0.8402248217157986
20134,7845,0.8402248217157986
20134,21971,0.8352553743168859
20134,7796,0.8352553743168859
20193,52709,0.8662074418801751
20195,49701,0.8955455230904592
20284,80335,0.9144289742750865
20323,1153,0.8249299789303453
20323,1008,0.8082953503365359
20344,70257,1.0000000000000002
20354,80321,0.8071410951690023
20427,66233,0.9205514753565198
20515,79005,0.8361080137718283
20537,82048,0.8348631552271115
20563,64772,0.9387967050521883
20565,30268,0.8304137223193302
20633,75616,0.8464412722507819
20660,87081,0.9214940217587388
20664,14798,0.9524146655886833
20683,61455,0.8420851886892444
20685,61796,0.8016383138812005
20702,12171,0.8747787720097527
20702,7227,0.8747787720097527
20710,69851,0.8979562075851293
20744,28897,0.8709892961660947
20755,85968,0.8204987148533012
20781,11214,0.8662976170402685
20781,11213,0.8662976170402685
20806,86643,0.9592643719690026
20819,9570,0.8498752538432565
20859,43026,0.8732406673472873
20859,41100,0.8732406673472873
20869,53389,0.8354451431063398
20884,27922,0.8979845722439662
20925,21577,0.9136637408438985
20930,66570,0.8675463666714572
20947,6192,0.8966192059320527
